d1_1,d1_2,d1_3
2000,32,1
5.75371442961471,3.8167e-13,6.69435521710456e-17
100000000,0,2.17505427585895e-17
4.74174519186573,2.61857534830955e-13,4.33659819788264e-17
4.38964153263828,2.60595882383529e-13,4.35759346334816e-17
3.30976554288643,2.45699001060135e-13,4.62179703112419e-17
4.43380519988034,2.618235979137e-13,4.33716029685073e-17
2.88714449058585,2.41043408281488e-13,4.71106396041249e-17
4.64580605737559,2.61649858852033e-13,4.34004023022268e-17
3.67041242533496,2.52797712500318e-13,4.49201419751171e-17
6.67208175775225,2.81301555815197e-13,4.03684547836603e-17
3.56787586820179,2.5133737296862e-13,4.51811404025334e-17
3.85115784584686,2.54978814323761e-13,4.45358927823709e-17
3.3748557420201,2.46868303664561e-13,4.59990568571695e-17
4.39373769296372,2.61105878141934e-13,4.34908214909137e-17
3.63840412846347,2.48382609142528e-13,4.57186160323444e-17
4.94626438003142,2.65117513818696e-13,4.28327384823955e-17
2.731941023466,2.3590012402783e-13,4.81377836628837e-17
4.61303695759757,2.61725623862942e-13,4.33878386414535e-17
4.46009127861144,2.60867887644599e-13,4.35304982879683e-17
2.73613838323845,2.37833193570728e-13,4.77465275809876e-17
7.94462751804116,2.91097445310772e-13,3.90099924249624e-17
10.5282982216965,3.05693693712841e-13,3.71473451041037e-17
4.05649783100552,2.57590152677027e-13,4.40844070259828e-17
4.21801687280307,2.59362299679595e-13,4.37831911211748e-17
3.18632192190578,2.46193450500442e-13,4.61251471694968e-17
3.7871663978635,2.48004316671625e-13,4.57883527549032e-17
4.72121785052151,2.63527142015035e-13,4.309123170262e-17
3.14407032127583,2.45079093861392e-13,4.6334874825845e-17
2.91255510868075,2.42053376364607e-13,4.69140703883176e-17
1.90616661540603,2.21578372918e-13,5.12491764740122e-17
5.40301889899297,2.71309883387554e-13,4.18551251974776e-17
2.73065671100274,2.38579860399297e-13,4.75970985878427e-17
4.81363319843949,2.65428890962434e-13,4.27824909915563e-17
3.19976600798295,2.45522083272242e-13,4.62512739593675e-17
4.04406550458345,2.54575766591917e-13,4.46064025988075e-17
3.21039572689331,2.46948794928517e-13,4.59840637804537e-17
4.51089901127728,2.62533232551515e-13,4.32543683180027e-17
2.97920370833848,2.42318059965915e-13,4.68628262296934e-17
3.12930803465713,2.4514346821008e-13,4.63227073493454e-17
5.07867504807609,2.68048154518674e-13,4.23644369307082e-17
3.13833000817188,2.45865600901582e-13,4.61866527682525e-17
3.36684505038281,2.48756105658996e-13,4.5649971510914e-17
2.92225553548475,2.42053213154095e-13,4.69141020213183e-17
3.98614974150131,2.55942975126604e-13,4.43681219649882e-17
3.8266756406022,2.52181766551562e-13,4.50298579940246e-17
2.75144997059223,2.40041577597533e-13,4.73072592263108e-17
3.57676941284534,2.48526529584915e-13,4.56921406155923e-17
5.23801632317558,2.67234605615842e-13,4.24934080312311e-17
5.49215468892987,2.70756569734545e-13,4.19406596398841e-17
4.36919518417465,2.59896544625608e-13,4.36931901224676e-17
2.82104011664823,2.37536382250067e-13,4.78061887990883e-17
