d1_1,d1_2,d1_3
2000,45,3
2.91666666666667,3.8301e-13,5.54083462204416e-17
100000000,0,1.84694493848472e-17
1.94444736050111,2.55340076541458e-13,3.69388864073868e-17
1.94444488439823,2.55340026313316e-13,3.69388936736649e-17
1.9444437716355,2.55339976147217e-13,3.69389009309703e-17
1.94444826782862,2.55340080080507e-13,3.69388858954087e-17
1.94444459910938,2.55339993045704e-13,3.69388984863414e-17
1.94443829208771,2.55339899757348e-13,3.69389119819569e-17
1.94444172921015,2.55339958029749e-13,3.69389035519442e-17
1.9444433050141,2.55339968833512e-13,3.69389019890116e-17
1.94444227034975,2.55339973561403e-13,3.69389013050486e-17
1.94444573162501,2.55339976029807e-13,3.69389009479556e-17
1.94444617956915,2.55340023486782e-13,3.69388940825668e-17
1.94444673410176,2.55340032593468e-13,3.69388927651436e-17
1.94444531510507,2.55339998421039e-13,3.69388977087157e-17
1.94444643289922,2.55340068926018e-13,3.69388875090779e-17
1.94444551218679,2.5534005369349e-13,3.69388897126986e-17
1.94444453352575,2.55340026645653e-13,3.69388936255872e-17
1.94444602685425,2.55340033152206e-13,3.69388926843135e-17
1.94444291247174,2.55339993276886e-13,3.69388984528973e-17
1.94444443463418,2.55339993589636e-13,3.69388984076532e-17
1.94444105123472,2.55339946611066e-13,3.69389052038347e-17
1.94443751034343,2.55339839815237e-13,3.69389206535232e-17
1.94444361507033,2.55339976650134e-13,3.69389008582156e-17
1.94444497239795,2.55340018307902e-13,3.69388948317722e-17
1.94444756289832,2.55340082377312e-13,3.69388855631404e-17
1.9444446491253,2.55339993625539e-13,3.69388984024593e-17
1.94444592377899,2.55340057696262e-13,3.69388891336357e-17
1.94444180627063,2.55339916854399e-13,3.69389095086012e-17
1.94444592421956,2.5534004242113e-13,3.69388913434201e-17
1.94444526748067,2.55340033963637e-13,3.69388925669274e-17
1.94444657969991,2.5534006019931e-13,3.69388887715312e-17
1.9444459236471,2.55340038605882e-13,3.69388918953548e-17
1.94443960627936,2.55339941063622e-13,3.69389060063589e-17
1.94444529397336,2.55340005150226e-13,3.69388967352342e-17
1.94444220318133,2.55339943055092e-13,3.69389057182618e-17
1.94444555406752,2.55340009675316e-13,3.69388960806098e-17
1.94444357038327,2.55339969217011e-13,3.69389019335325e-17
1.94444390236546,2.55339982545872e-13,3.69389000053054e-17
1.94444855282056,2.55340082743687e-13,3.69388855101386e-17
1.94444536123382,2.55339984171743e-13,3.69388997700978e-17
1.94444665986427,2.55340020966299e-13,3.69388944471938e-17
1.94444880974878,2.55340048978775e-13,3.69388903947551e-17
1.9444409288519,2.55339938378776e-13,3.69389063947638e-17
1.9444385564871,2.55339887056331e-13,3.69389138193579e-17
1.9444480001847,2.55340057723347e-13,3.69388891297174e-17
1.94444180747752,2.55339952109509e-13,3.69389044083992e-17
1.94444703595025,2.55340043218231e-13,3.6938891228107e-17
1.94444530693769,2.55339995284676e-13,3.69388981624394e-17
1.94444321313558,2.55340000099392e-13,3.69388974659158e-17
1.94444505927513,2.55340015884846e-13,3.69388951823049e-17
1.94444016810937,2.55339931719782e-13,3.69389073580912e-17
1.94444592789509,2.55340077327738e-13,3.69388862936393e-17
1.94444187069189,2.55339900805433e-13,3.69389118303351e-17
1.94444027737103,2.55339932222626e-13,3.6938907285347e-17
1.94444376584679,2.55340005620349e-13,3.69388966672236e-17
1.94444506622126,2.55339998429468e-13,3.69388977074963e-17
1.94443905626194,2.55339897108285e-13,3.69389123651854e-17
1.94444023233166,2.5533993558358e-13,3.69389067991326e-17
1.94444189681036,2.55339943977962e-13,3.69389055847543e-17
1.94444599606024,2.55340015769645e-13,3.69388951989704e-17
1.94444497174874,2.55340041993542e-13,3.69388914052773e-17
1.94444573302418,2.5533997406373e-13,3.69389012323792e-17
1.94444435072537,2.55339989748506e-13,3.69388989633323e-17
1.94444386185398,2.55339986103225e-13,3.69388994906789e-17
1.94444648807378,2.55340040289944e-13,3.69388916517291e-17
1.94444486314927,2.55339964725967e-13,3.69389025832319e-17
1.94444427870783,2.55339957712565e-13,3.69389035978298e-17
1.94444416616373,2.55339984162096e-13,3.69388997714934e-17
1.9444425274046,2.55339977162181e-13,3.69389007841401e-17
