d1_1,d1_2,d1_3
16000,90,1
1.30666666666667,3.805e-13,1.0077968456205e-16
100000000,0,2.68745818186669e-16
6.96888927543481,2.02933324855568e-12,5.3749167345191e-16
6.96891286845856,2.02933461278607e-12,5.37491312120434e-16
6.96889006397256,2.02933341886996e-12,5.37491628342268e-16
6.96888508834561,2.02933324344085e-12,5.37491674806631e-16
6.96890014825951,2.02933404313307e-12,5.37491462999261e-16
6.96890554039582,2.02933413173268e-12,5.37491439532679e-16
6.96889551176393,2.02933371512774e-12,5.37491549875097e-16
6.96888592668699,2.02933318427948e-12,5.37491690476184e-16
6.96888595114839,2.02933319740948e-12,5.37491686998556e-16
6.96888668835641,2.02933312679495e-12,5.37491705701608e-16
6.96889040351795,2.02933353671245e-12,5.3749159713037e-16
6.9688724611711,2.02933236555903e-12,5.37491907323581e-16
6.96889640528728,2.02933380738511e-12,5.37491525439709e-16
6.96889644423776,2.02933374000597e-12,5.37491543285821e-16
6.96887350883425,2.02933246204594e-12,5.3749188176792e-16
6.96889371982861,2.0293335963276e-12,5.37491581340633e-16
6.96888039595053,2.02933280227861e-12,5.37491791653425e-16
6.96889691693704,2.02933390425784e-12,5.37491499781895e-16
6.96889451208055,2.02933364858135e-12,5.37491567500646e-16
6.96888101871409,2.02933292788329e-12,5.37491758385605e-16
6.96889719456219,2.02933383104376e-12,5.37491519173453e-16
6.96888455942774,2.02933309434673e-12,5.37491714295883e-16
6.96888897350601,2.0293333251257e-12,5.37491653171484e-16
6.96889650187532,2.02933385657859e-12,5.37491512410272e-16
6.96890522852726,2.02933430239657e-12,5.37491394330476e-16
6.96887541844031,2.02933257148562e-12,5.37491852781572e-16
6.96888921620393,2.02933340422229e-12,5.37491632221866e-16
6.9688907217843,2.02933353191156e-12,5.37491598401939e-16
6.96887966240332,2.02933286103725e-12,5.37491776090535e-16
6.96888839944142,2.02933328880478e-12,5.37491662791486e-16
6.96889267120596,2.02933348405234e-12,5.37491611077988e-16
6.96889469270551,2.02933363992884e-12,5.37491569792359e-16
6.96886206199658,2.02933182298947e-12,5.37492051029377e-16
6.96888523382513,2.02933312452062e-12,5.3749170630399e-16
6.96890344834077,2.02933420834493e-12,5.37491419241082e-16
6.96888337621852,2.02933306222141e-12,5.37491722804637e-16
6.96888434064206,2.02933313335006e-12,5.37491703965415e-16
6.96890101746855,2.02933397319683e-12,5.37491481522642e-16
6.96887882780858,2.02933290178895e-12,5.37491765296986e-16
6.96888381197724,2.02933307745401e-12,5.37491718770111e-16
6.96889901477314,2.02933387816192e-12,5.37491506693687e-16
6.96889693503503,2.02933370055552e-12,5.37491553734711e-16
6.96888946738816,2.02933336119708e-12,5.37491643617574e-16
6.96890076797233,2.02933405297806e-12,5.37491460391705e-16
6.96890033981753,2.02933398515343e-12,5.37491478355807e-16
6.96889538164186,2.02933373275157e-12,5.37491545207229e-16
6.96886955959132,2.02933220964958e-12,5.37491948617985e-16
6.96889418176476,2.02933360543637e-12,5.37491578928075e-16
6.96889387587783,2.0293337339394e-12,5.3749154489262e-16
6.96889923456483,2.02933386325897e-12,5.374915106409e-16
6.96887430840993,2.0293325645616e-12,5.37491854615476e-16
