d1_1,d1_2,d1_3
2000,90,1
1.30666666666667,3.805e-13,1.0077968456205e-16
100000000,0,5.03898357740336e-17
1.30666582272407,3.80499959088722e-13,1.00779695397861e-16
1.30666957442121,3.80500178291248e-13,1.00779637339639e-16
1.30666613776206,3.8049994251741e-13,1.0077969978696e-16
1.3066684613048,3.80500073075387e-13,1.0077966520722e-16
1.30666568523175,3.80499940205317e-13,1.00779700399344e-16
1.30666400410826,3.80499847656747e-13,1.00779724911882e-16
1.30666341362338,3.804998017516e-13,1.00779737070386e-16
1.30666587887237,3.80499974946936e-13,1.00779691197635e-16
1.30666865968359,3.80500107017917e-13,1.00779656217165e-16
1.30666466232237,3.80499908506735e-13,1.00779708795071e-16
1.30666676388009,3.80499994847683e-13,1.00779685926699e-16
1.30666761656107,3.80500032857602e-13,1.00779675859347e-16
1.30666720389699,3.8050005248778e-13,1.00779670660076e-16
1.30666457906571,3.80499872449872e-13,1.00779718345141e-16
1.30666855685065,3.80500132314196e-13,1.00779649517166e-16
1.30666785889684,3.80500058014655e-13,1.00779669196222e-16
1.30666185955023,3.80499713254487e-13,1.00779760509866e-16
1.30666587126415,3.80499977734118e-13,1.00779690459418e-16
1.30666793827974,3.80500079943735e-13,1.00779663388061e-16
1.30666613324153,3.80499964408167e-13,1.00779693988946e-16
1.30666017804563,3.80499631260354e-13,1.00779782226968e-16
1.30666781181797,3.80500060542059e-13,1.0077966852681e-16
1.30667328856329,3.80500367299313e-13,1.00779587278809e-16
1.30666753292581,3.80500053378776e-13,1.00779670424086e-16
1.3066655223188,3.80499925334333e-13,1.00779704338092e-16
1.30666542727732,3.80499928321074e-13,1.0077970354702e-16
1.30666470372853,3.80499876986573e-13,1.00779717143544e-16
1.30666600634133,3.80499960455086e-13,1.00779695035964e-16
1.30666478336519,3.80499905397637e-13,1.00779709618551e-16
1.30666713564465,3.80500040574078e-13,1.00779673815552e-16
1.30666643970938,3.80499982587774e-13,1.00779689173873e-16
1.30666515000559,3.80499932832373e-13,1.00779702352151e-16
1.30667116790055,3.80500256263274e-13,1.00779616687899e-16
1.30666420053542,3.80499846341155e-13,1.00779725260332e-16
1.30666735221801,3.80500042026591e-13,1.00779673430838e-16
1.30666542193176,3.80499915301186e-13,1.00779706995484e-16
1.30666703403523,3.80500016530094e-13,1.0077968018387e-16
1.30666849598532,3.80500107161442e-13,1.0077965617915e-16
1.30666627615281,3.8049995728861e-13,1.00779695874641e-16
1.30666904956807,3.80500122273796e-13,1.00779652176477e-16
1.30666678286458,3.80500007281105e-13,1.00779682633568e-16
1.3066632256776,3.8049977606425e-13,1.00779743873975e-16
1.30666896333193,3.80500124633934e-13,1.00779651551368e-16
1.30666568430501,3.8049994966893e-13,1.00779697892799e-16
1.30666735432143,3.80500027143349e-13,1.00779677372831e-16
