d1_1,d1_2,d1_3
2000,32,3
6.32908587257618,3.8301e-13,4.71276669210702e-17
100000000,0,1.57092181383611e-17
4.21938224034793,2.5533992700575e-13,3.14184535956653e-17
4.21938593105998,2.55339962966437e-13,3.14184491708616e-17
4.21938975487278,2.55339999038003e-13,3.14184447324162e-17
4.21939543190021,2.55340037156108e-13,3.14184400421546e-17
4.21939562822239,2.55340036938818e-13,3.14184400688912e-17
4.21938156196794,2.5533994173444e-13,3.14184517833649e-17
4.21938609201643,2.5533996691803e-13,3.14184486846357e-17
4.21938302459664,2.55339933715577e-13,3.14184527700506e-17
4.21938661188807,2.55339971497629e-13,3.14184481211364e-17
4.21939641087427,2.55340051189215e-13,3.14184383154442e-17
4.21939018899272,2.55339989821113e-13,3.14184458665133e-17
4.21939976964314,2.55340038576365e-13,3.14184398673983e-17
4.21938525118434,2.55339976424569e-13,3.14184475148983e-17
4.21938767847938,2.55339983088978e-13,3.14184466948726e-17
4.21939613539438,2.55340058217706e-13,3.14184374506202e-17
4.21938320861188,2.55339911926199e-13,3.14184554511376e-17
4.21939376487729,2.55340063898065e-13,3.14184367516777e-17
4.21939203360564,2.55340027235678e-13,3.14184412628188e-17
4.21939076107777,2.55340006201585e-13,3.14184438509695e-17
4.2193828471212,2.5533996132328e-13,3.14184493730448e-17
4.21938516922784,2.55339968470727e-13,3.14184484935833e-17
4.21939461527016,2.55340042010931e-13,3.14184394447905e-17
4.21939348282741,2.55340006639919e-13,3.14184437970345e-17
4.21938538735907,2.55339957902618e-13,3.14184497939421e-17
4.21937870374409,2.55339894911742e-13,3.14184575446921e-17
4.21938842858516,2.55339976672754e-13,3.14184474843602e-17
4.21939519144088,2.55340064663194e-13,3.14184366575321e-17
4.2193881079824,2.55339979541226e-13,3.14184471314075e-17
4.21938415386383,2.55340002829267e-13,3.14184442659181e-17
4.21938897599049,2.55340003317567e-13,3.14184442058351e-17
4.21937691166864,2.55339898289448e-13,3.14184571290802e-17
4.21938312099779,2.55339928124408e-13,3.14184534580193e-17
4.21939445703609,2.55340004249788e-13,3.14184440911293e-17
4.21938529722834,2.5533999608861e-13,3.14184450953259e-17
4.21939515342454,2.55340055192485e-13,3.14184378228599e-17
4.21938833020777,2.5533998218672e-13,3.14184468058913e-17
4.21939062253457,2.55340015397745e-13,3.14184427194233e-17
4.21937586384526,2.55339879188593e-13,3.1418459479357e-17
4.21939184789922,2.55339991678738e-13,3.14184456379408e-17
4.21938425782146,2.55339930492516e-13,3.14184531666341e-17
4.21939319948505,2.55340029278777e-13,3.14184410114247e-17
4.21939156257364,2.5534000929737e-13,3.1418443470047e-17
4.21939560312415,2.55340058922403e-13,3.14184373639104e-17
4.219392338323,2.55340029619951e-13,3.14184409694447e-17
4.2193799179526,2.55339909815303e-13,3.14184557108742e-17
4.21939615261083,2.55340068934948e-13,3.14184361319121e-17
4.21938888094683,2.55340014479342e-13,3.14184428324286e-17
4.21938727047322,2.5533996609682e-13,3.14184487856819e-17
4.21939865464683,2.55340056883109e-13,3.14184376148362e-17
4.21938442360748,2.55339946362574e-13,3.14184512138935e-17
4.21939799077111,2.55340084577404e-13,3.14184342071791e-17
4.21939413316312,2.5534008282551e-13,3.14184344227416e-17
4.21939360728511,2.55340014067379e-13,3.14184428831189e-17
4.2193812033456,2.5533988487688e-13,3.1418458779438e-17
4.2193914570149,2.553400174164e-13,3.14184424710369e-17
4.21939562069602,2.55340034158066e-13,3.14184404110502e-17
4.21939626166734,2.55340067566654e-13,3.14184363002745e-17
4.21939177012143,2.55339992172384e-13,3.14184455771999e-17
4.21939541939619,2.55340005563129e-13,3.14184439295286e-17
4.21939365505764,2.55339968774846e-13,3.14184484561627e-17
4.219398806923,2.55340085969863e-13,3.14184340358433e-17
4.21938594197452,2.55339915942205e-13,3.14184549569858e-17
4.21939599842479,2.55340021703421e-13,3.14184419435381e-17
4.21939651592886,2.55340029220889e-13,3.14184410185476e-17
4.21938869155931,2.55340010223393e-13,3.1418443356104e-17
4.21939220835983,2.55340054965229e-13,3.14184378508227e-17
4.21937467806046,2.55339849437623e-13,3.14184631400846e-17
4.21939012785565,2.55340009123674e-13,3.14184434914196e-17
4.21938883714039,2.55339993502461e-13,3.14184454135399e-17
4.21939139740001,2.55340006719884e-13,3.14184437871951e-17
4.21938818383455,2.55339958341827e-13,3.14184497398995e-17
4.21938280781663,2.55339946983976e-13,3.14184511374327e-17
4.21938781000584,2.55339957953458e-13,3.14184497876866e-17
4.21939274041027,2.55340015402568e-13,3.14184427188298e-17
4.21939409047139,2.55340024886544e-13,3.14184415518692e-17
4.21938946555056,2.55339941186952e-13,3.14184518507309e-17
4.21937823052164,2.55339883551406e-13,3.14184589425318e-17
4.21938695743383,2.55339997345943e-13,3.14184449406167e-17
4.21939664782792,2.55340071829499e-13,3.14184357757508e-17
4.21938905758297,2.55339992703526e-13,3.14184455118452e-17
4.21939035406692,2.55340008021418e-13,3.14184436270472e-17
4.21938461748035,2.5533994691771e-13,3.14184511455864e-17
4.21938774066925,2.55339999348631e-13,3.14184446941948e-17
4.2193956535381,2.55340022599153e-13,3.14184418333223e-17
4.21939896917139,2.55340085544082e-13,3.14184340882338e-17
4.21938612112758,2.55339969682361e-13,3.14184483444971e-17
4.21939253608348,2.55340022419481e-13,3.14184418554302e-17
4.21939725489966,2.55340077139354e-13,3.14184351223972e-17
4.21938241422245,2.55339912746897e-13,3.14184553501544e-17
4.21939844019232,2.55340077608243e-13,3.14184350647026e-17
4.21939422816917,2.55340071676712e-13,3.14184357945505e-17
4.21939542851617,2.55340064130754e-13,3.14184367230464e-17
4.21939520749047,2.55340048241628e-13,3.14184386781315e-17
4.21938753803475,2.55339984278852e-13,3.14184465484638e-17
4.21938703640248,2.55339976050421e-13,3.14184475609356e-17
