d1_1,d1_2,d1_3
2000,32,4
2.65251524055963,3.8368e-13,5.01280749884632e-17
100000000,0,1.6709355254365e-17
1.76834438438866,2.55786675297334e-13,3.34187155313724e-17
1.76834043463443,2.55786613064402e-13,3.34187236621523e-17
1.76834663823123,2.55786740897804e-13,3.34187069606254e-17
1.76834209130559,2.55786627003646e-13,3.34187218409791e-17
1.7683434226324,2.55786643224265e-13,3.34187197217428e-17
1.76834371675201,2.55786666943685e-13,3.34187166227828e-17
1.76834449351929,2.55786684604947e-13,3.3418714315326e-17
1.76834191800999,2.55786636923982e-13,3.34187205448797e-17
1.76834703719413,2.55786741400972e-13,3.34187068948862e-17
1.7683410977662,2.55786600197837e-13,3.34187253431794e-17
1.76834131039879,2.55786600408794e-13,3.34187253156177e-17
1.76834458692581,2.55786681233712e-13,3.34187147557804e-17
1.7683442774853,2.55786676261924e-13,3.34187154053481e-17
1.76834281072956,2.55786665827397e-13,3.34187167686267e-17
1.76834548402551,2.5578669678816e-13,3.34187127235806e-17
1.76834471298343,2.55786700560614e-13,3.34187122307069e-17
1.76834712665941,2.55786754896694e-13,3.34187051316613e-17
1.76834077196657,2.55786601310636e-13,3.34187251977912e-17
1.76834602470829,2.5578671735803e-13,3.34187100361128e-17
1.76834274547955,2.55786650031327e-13,3.3418718832395e-17
1.76834227708994,2.55786640350371e-13,3.34187200972192e-17
1.76834544370019,2.55786719662628e-13,3.34187097350154e-17
1.76834215000838,2.55786626293831e-13,3.34187219337171e-17
1.76834197075895,2.55786649265342e-13,3.34187189324715e-17
1.76834296994468,2.55786676515214e-13,3.34187153722556e-17
1.76834259884596,2.557866430483e-13,3.34187197447328e-17
1.76834430405033,2.5578667681875e-13,3.34187153325983e-17
1.76834690311799,2.55786708355402e-13,3.34187112123124e-17
1.76834135265593,2.55786622709879e-13,3.34187224019632e-17
1.7683434740867,2.55786669482703e-13,3.34187162910583e-17
1.76834568931541,2.55786726683453e-13,3.34187088177399e-17
1.76834608696907,2.55786731602967e-13,3.34187081750021e-17
1.76834423905229,2.55786700020093e-13,3.34187123013263e-17
1.76834290528606,2.557866435873e-13,3.3418719674312e-17
1.76834465051528,2.55786696070545e-13,3.34187128173375e-17
1.76834428276702,2.55786666609018e-13,3.34187166665073e-17
1.76834095766971,2.55786620903139e-13,3.34187226380151e-17
1.76834372609908,2.5578665946541e-13,3.34187175998249e-17
1.76834307855892,2.55786647333663e-13,3.34187191848469e-17
1.76834511117129,2.5578672218408e-13,3.3418709405586e-17
1.76834545429145,2.55786713204548e-13,3.34187105787681e-17
1.76834270953775,2.55786675235353e-13,3.34187155394703e-17
1.768344527931,2.55786685813404e-13,3.34187141574403e-17
1.76834412702091,2.55786658845657e-13,3.34187176807961e-17
1.76834412855643,2.55786704803729e-13,3.34187116763409e-17
1.76834449994355,2.55786698821818e-13,3.34187124578817e-17
1.76834337960593,2.55786686674226e-13,3.34187140449733e-17
1.76834078673225,2.55786615230425e-13,3.34187233791597e-17
1.76834166787732,2.55786641360646e-13,3.34187199652261e-17
1.76834496252699,2.55786684455008e-13,3.34187143349157e-17
1.76834481262989,2.55786718597913e-13,3.34187098741212e-17
1.76834432538623,2.55786691551166e-13,3.34187134077976e-17
1.76834371096868,2.55786682633903e-13,3.34187145728444e-17
1.76834462887268,2.5578669511889e-13,3.34187129416719e-17
1.76834205776804,2.55786644729413e-13,3.34187195250941e-17
1.76834299175344,2.557866711345e-13,3.34187160752498e-17
1.7683417581393,2.55786622884566e-13,3.34187223791401e-17
1.76834240768519,2.55786647078286e-13,3.3418719218212e-17
1.76834520156635,2.55786706301034e-13,3.3418711480717e-17
1.76834396961598,2.55786679015649e-13,3.3418715045572e-17
1.7683443793449,2.55786689728892e-13,3.3418713645879e-17
1.76834498587612,2.55786717193806e-13,3.34187100575687e-17
1.76834492977113,2.55786696237421e-13,3.3418712795535e-17
1.76834611931971,2.55786707039223e-13,3.3418711384272e-17
1.76834535959854,2.55786712326179e-13,3.34187106935276e-17
1.76834364304894,2.55786681925086e-13,3.34187146654518e-17
1.76834140978162,2.55786613355304e-13,3.34187236241458e-17
1.76834475517001,2.55786676143576e-13,3.34187154208103e-17
1.76834256464736,2.55786634550104e-13,3.34187208550285e-17
1.7683432628718,2.55786677407539e-13,3.34187152556726e-17
1.7683446675333,2.55786691081318e-13,3.34187134691836e-17
1.76834245591022,2.55786633172296e-13,3.34187210350402e-17
1.76834273186379,2.55786644314361e-13,3.34187195793209e-17
1.76833999810334,2.55786589842814e-13,3.34187266960715e-17
1.76834415960964,2.55786666475329e-13,3.34187166839739e-17
1.7683408999151,2.55786608010235e-13,3.34187243224834e-17
1.7683446496408,2.55786670219323e-13,3.34187161948183e-17
1.76834480558762,2.55786679862139e-13,3.34187149349774e-17
1.76834001674465,2.55786594349254e-13,3.34187261073014e-17
1.76834507101907,2.55786707010686e-13,3.34187113880004e-17
1.76834508050561,2.55786701146133e-13,3.34187121542084e-17
1.76834692614747,2.55786737020551e-13,3.34187074671911e-17
1.76834260856532,2.55786659515624e-13,3.34187175932645e-17
1.76834302483838,2.55786652255474e-13,3.34187185418085e-17
1.76834197427157,2.55786650323766e-13,3.34187187941876e-17
1.76834241947603,2.55786640477566e-13,3.34187200806011e-17
1.76834179222298,2.55786630276191e-13,3.34187214134186e-17
1.76834388962181,2.55786684791361e-13,3.3418714290971e-17
1.76834311957839,2.55786661651765e-13,3.34187173141761e-17
1.76834441887343,2.55786678421125e-13,3.34187151232468e-17
1.76834229135816,2.55786661132462e-13,3.34187173820234e-17
1.76834185947609,2.55786631683394e-13,3.34187212295665e-17
1.76834520530593,2.55786693852296e-13,3.34187131071534e-17
1.76834024879855,2.55786608202243e-13,3.34187242973973e-17
1.76834597852716,2.557867359656e-13,3.34187076050211e-17
1.76834268195718,2.55786667751215e-13,3.34187165172784e-17
1.76834085493901,2.5578659898896e-13,3.34187255011201e-17
1.76834341534787,2.55786663030105e-13,3.34187171340949e-17
1.76834371306233,2.55786655861851e-13,3.34187180706327e-17
1.76834309986309,2.55786684446097e-13,3.341871433608e-17
1.7683455594391,2.55786690863847e-13,3.34187134975963e-17
1.76834266415969,2.55786635330715e-13,3.34187207530411e-17
1.76834158517445,2.5578664527412e-13,3.34187194539277e-17
1.7683472336623,2.55786743416599e-13,3.34187066315432e-17
1.7683425893349,2.55786665680606e-13,3.3418716787805e-17
1.76834356286836,2.55786663579258e-13,3.34187170623477e-17
1.76834442194355,2.55786662601084e-13,3.34187171901468e-17
1.76834228576045,2.55786626610922e-13,3.34187218922889e-17
1.76834174396029,2.55786660412836e-13,3.34187174760431e-17
1.76834556647104,2.55786718794161e-13,3.34187098484812e-17
