d3_1,d3_2,d3_3
20000,45,1
2.91666666666667,3.8167e-13,7.71353504604161e-17
100000000,0,1.48295829066993e-16
14.7618026588652,1.58756681708507e-12,2.96708133663638e-16
8.75157511840081,1.44658577159932e-12,3.2562465123852e-16
12.2521572705091,1.53578320495243e-12,3.06712552816478e-16
14.3348506462493,1.57980743639963e-12,2.98165445047618e-16
17.2104616592124,1.63407075729084e-12,2.88264131318637e-16
11.9483292549615,1.53273809602993e-12,3.07321902276535e-16
16.5688163838074,1.62309475730834e-12,2.90213485837874e-16
11.4623221401878,1.52176341566922e-12,3.09538251815893e-16
20.7818074423579,1.69420694150152e-12,2.7803214343235e-16
7.55761222698719,1.392848853588e-12,3.38187439469986e-16
16.1646045614028,1.61982733491773e-12,2.90798887763895e-16
14.0896211157237,1.57893323160273e-12,2.98330529711816e-16
19.8490126453028,1.68151270096908e-12,2.80131090946956e-16
34.8465688512515,1.84227426917154e-12,2.55686134929007e-16
7.97096860059292,1.3939521193072e-12,3.37919775607316e-16
16.166689770324,1.61987923684711e-12,2.90789570388259e-16
15.8544773099614,1.5997825586428e-12,2.94442507088744e-16
15.5898607159161,1.60599454395663e-12,2.93303603761403e-16
14.4855299181049,1.58798228657908e-12,2.96630504851777e-16
10.4342464227651,1.49596486305916e-12,3.14876371093621e-16
23.5200759797898,1.68450611323599e-12,2.7963329053092e-16
15.3948712670966,1.59908282477325e-12,2.94571350568052e-16
10.9675472725207,1.49749183683523e-12,3.14555295579526e-16
8.39877641938978,1.43797737426075e-12,3.27573990936952e-16
9.55264376039451,1.47075234863219e-12,3.20274169748364e-16
10.0787704998427,1.48607707694083e-12,3.16971437533578e-16
7.99118236547946,1.42529104391814e-12,3.30489684456816e-16
8.84825607809766,1.45150765424381e-12,3.24520498384166e-16
14.2728691481396,1.57716926321449e-12,2.98664194357667e-16
9.80985822324282,1.47586031445165e-12,3.19165697966916e-16
21.4726332323343,1.68967895568754e-12,2.78777211362003e-16
9.03632194093422,1.45581823828638e-12,3.23559614088975e-16
11.0489534186683,1.50206768194548e-12,3.13597045609513e-16
11.7650359667765,1.52609717585875e-12,3.08659235345594e-16
16.3142376539976,1.59161354659089e-12,2.95953743528115e-16
9.49670156052196,1.46674218976132e-12,3.2114981804695e-16
24.5108163389478,1.73546592031791e-12,2.71422205327629e-16
9.98308311733821,1.48244460429159e-12,3.17748120907848e-16
9.87985028154669,1.47639324595311e-12,3.19050489193712e-16
19.5211581816898,1.66861501135342e-12,2.82296386019905e-16
8.01561527827156,1.42121628232622e-12,3.31437229661229e-16
32.4132499621327,1.81510020595781e-12,2.59514039950796e-16
8.03722982258234,1.42646942532334e-12,3.3021667271758e-16
11.5403180961173,1.52374669858874e-12,3.09135362065035e-16
11.2123761676522,1.50724222054221e-12,3.12520430322195e-16
18.7983044543945,1.66445293395508e-12,2.8300228727065e-16
12.2274885107948,1.53064848969152e-12,3.07741451114334e-16
15.9153541892895,1.61519497003293e-12,2.91632896401373e-16
12.2996170774124,1.53879524867298e-12,3.06112192489449e-16
7.44834512562988,1.40011940015314e-12,3.3643129815365e-16
