d1_1,d1_2,d1_3
20000,90,1
1.30666666666667,1.0077968456205e-16,3.805e-13
100000000,0,2.01559359224979e-16
5.22667048099624,1.52200017638169e-12,4.03118691531541e-16
5.22665663374179,1.52199954122946e-12,4.03118859758751e-16
5.2266684417205,1.52200024305551e-12,4.03118673872238e-16
5.22667672161064,1.52200054550475e-12,4.03118593765213e-16
5.22666590498632,1.52200002395436e-12,4.03118731903621e-16
5.22667105386082,1.52200030428984e-12,4.03118657653646e-16
5.22666440878245,1.52199991265425e-12,4.03118761382702e-16
5.22665265226668,1.52199916704696e-12,4.03118958865258e-16
5.22667507885924,1.52200045698775e-12,4.03118617209916e-16
5.226672331748,1.52200031761765e-12,4.03118654123627e-16
5.22667397076768,1.52200041838483e-12,4.03118627434325e-16
5.22665821778675,1.52199941971165e-12,4.03118891944125e-16
5.22665683043381,1.52199943180074e-12,4.03118888742191e-16
5.2266729532909,1.52200030018267e-12,4.03118658741474e-16
5.22666843929767,1.52199998896511e-12,4.03118741170914e-16
5.22666149835717,1.52199966522238e-12,4.03118826917819e-16
5.22667618061817,1.5220005221733e-12,4.03118599944804e-16
5.22666820632975,1.52200016514874e-12,4.03118694506712e-16
5.22667301867091,1.52200040339651e-12,4.03118631404146e-16
5.22668128397577,1.52200080997947e-12,4.03118523716183e-16
5.22666133046758,1.5219996886721e-12,4.03118820706897e-16
5.22666245093968,1.52199972541903e-12,4.03118810974058e-16
5.22666309014786,1.52199975250392e-12,4.03118803800319e-16
5.22666336381983,1.5219997721325e-12,4.03118798601468e-16
5.22666604540068,1.5219999762213e-12,4.03118744546256e-16
5.22667300892855,1.52200030202905e-12,4.0311865825244e-16
5.22667888374405,1.52200088844797e-12,4.03118502932945e-16
5.22667464833089,1.52200042445449e-12,4.03118625826709e-16
5.22666854278388,1.52200024181751e-12,4.03118674200134e-16
5.2266518550081,1.52199914166251e-12,4.0311896558862e-16
5.22667040798413,1.52200015787114e-12,4.03118696434266e-16
5.22666138057835,1.52199975807356e-12,4.03118802325136e-16
5.22667956439942,1.52200072540221e-12,4.03118546117396e-16
5.22666636173447,1.5219999004758e-12,4.03118764608299e-16
5.22667028347498,1.5220003295839e-12,4.03118650954233e-16
5.22665574365418,1.52199935139025e-12,4.03118910039827e-16
5.22666771172132,1.52200011926264e-12,4.03118706660158e-16
5.2266702062636,1.52200013402614e-12,4.03118702749878e-16
5.22666261304366,1.52199972172083e-12,4.03118811953566e-16
5.22667765758821,1.52200067976406e-12,4.03118558205159e-16
5.22666677119646,1.52199996373764e-12,4.03118747852693e-16
5.22667438232983,1.52200052257345e-12,4.03118599838821e-16
5.22666046759469,1.52199960613281e-12,4.03118842568361e-16
